basket,model,ml_return_net_annual_pct,bench_5050_return_net_annual_pct,headroom_5050_bps,real_tc_annual_bps,total_tc_at_be_5050_bps,tc_multiplier_5050
Basket_1_Economic,LSTM Expanding,14.881008869544965,15.652108520770447,-77.1099651225482,56.38304042544573,0.0,0.0
Basket_1_Economic,LSTM Rolling 10Y,14.793109417916273,15.652108520770447,-85.89991028541743,56.38304042544573,0.0,0.0
Basket_1_Economic,Logistic L2,15.006351910975102,15.652108520770447,-64.57566097953449,56.38304042544573,0.0,0.0
Basket_1_Economic,Random Forest,15.048897765802113,15.652108520770447,-60.32107549683335,56.38304042544573,0.0,0.0
Basket_1_Economic,XGBoost,15.403529079134067,15.652108520770447,-24.857944163637903,56.38304042544573,31.525096261807825,0.5591237369239228
Basket_2_Beta_Expansion,LSTM Expanding,16.01703448726976,16.01977359321906,-0.2739105949300935,65.24129171991623,64.96738112498613,0.9958015761535499
Basket_2_Beta_Expansion,LSTM Rolling 10Y,16.020095128334,16.01977359321906,0.032153511493882014,65.24129171991623,65.27344523141012,1.0004928398970383
Basket_2_Beta_Expansion,Logistic L2,15.397562306203227,16.01977359321906,-62.22112870158336,65.24129171991623,3.020163018332873,0.04629220143737447
Basket_2_Beta_Expansion,Random Forest,16.077315325580813,16.01977359321906,5.7541732361751645,65.24129171991623,70.9954649560914,1.088198333976557
Basket_2_Beta_Expansion,XGBoost,15.921094057364988,16.01977359321906,-9.867953585407374,65.24129171991623,55.373338134508856,0.8487468085737643
Basket_3_Rolling_Beta,LSTM Expanding,16.128853927946725,16.112177326197873,1.667660174884955,78.32047182393242,79.98813199881738,1.02129277487799
Basket_3_Rolling_Beta,LSTM Rolling 10Y,15.61352695834149,16.112177326197873,-49.86503678563847,78.32047182393242,28.45543503829395,0.36332052623818345
Basket_3_Rolling_Beta,Logistic L2,15.425938743624412,16.112177326197873,-68.62385825734619,78.32047182393242,9.696613566586237,0.12380688395729554
Basket_3_Rolling_Beta,Random Forest,15.981653494293004,16.112177326197873,-13.052383190486905,78.32047182393242,65.26808863344552,0.8333464688539008
Basket_3_Rolling_Beta,XGBoost,15.612226941574303,16.112177326197873,-49.99503846235709,78.32047182393242,28.325433361575335,0.3616606578322466
Basket_4_EWMA_Beta,LSTM Expanding,16.274528484056148,16.094203948328666,18.032453572748576,89.19026821565083,107.22272178839941,1.2021796092052148
Basket_4_EWMA_Beta,LSTM Rolling 10Y,15.8060503418196,16.094203948328666,-28.815360650906452,89.19026821565083,60.374907564744376,0.676922592258221
Basket_4_EWMA_Beta,Logistic L2,15.553629420764986,16.094203948328666,-54.05745275636781,89.19026821565083,35.13281545928302,0.39390861987696124
Basket_4_EWMA_Beta,Random Forest,15.97238254483363,16.094203948328666,-12.182140349503435,89.19026821565083,77.00812786614739,0.8634140182194703
Basket_4_EWMA_Beta,XGBoost,15.764329795560734,16.094203948328666,-32.98741527679311,89.19026821565083,56.202852938857724,0.6301455760057398
Basket_5_Kalman_Beta,LSTM Expanding,16.189627734293797,15.997735244236416,19.189249005737985,67.9427219845883,87.1319709903263,1.282432738124486
Basket_5_Kalman_Beta,LSTM Rolling 10Y,15.731765947918111,15.997735244236416,-26.596929631830523,67.9427219845883,41.34579235275778,0.608538944938597
Basket_5_Kalman_Beta,Logistic L2,15.482127365847436,15.997735244236416,-51.56078783889795,67.9427219845883,16.38193414569035,0.24111389221948343
Basket_5_Kalman_Beta,Random Forest,15.987190145873031,15.997735244236416,-1.0545098363384797,67.9427219845883,66.88821214824982,0.9844794290611777
Basket_5_Kalman_Beta,XGBoost,15.801462473891226,15.997735244236416,-19.627277034519054,67.9427219845883,48.31544495006925,0.711120242739595
